,Bi_Grams,Freq
10256,کہ غالب,3
3180,پڑا پایا,3
3179,اگر پڑا,3
10259,پر یاد,3
10260,یاد آتا,3
10261,وہ ہر,3
10263,کہنا کہ,3
10264,یوں ہوتا,3
2621,جائیں سو,3
5538,روز جزا,3
6904,حجاب میں,3
1514,کا خیال,3
4767,ہے آئینہ,3
13332,دریا سے,3
1501,تھا کس,3
1500,روزگار تھا,3
10288,میں جب,3
7931,دیکھ کے,3
14209,بے ذوق,3
1496,تو کم,3
2622,سو وہ,3
7644,نہیں یہ,3
13255,سنا ہے,3
1870,شیشے اچھل,3
1868,بادہ سے,3
1865,ہیں بسکہ,3
1864,کا ہیں,3
1863,گداز کا,3
1862,جاں گداز,3
11914,دیا جو,3
5200,نہ رکھ,3
341,وہ نہیں,3
1856,وگرنہ میں,3
1855,میرا وگرنہ,3
1853,آہ میں,3
4333,زمیں سے,3
1850,صرفہ ہے,3
7346,ہیں تیرے,3
1849,کا صرفہ,3
1848,دراز کا,3
1847,ہائے دراز,3
2329,سے غالبؔ,3
1842,میں اور,3
364,خستہ کے,3
1841,تیز میں,3
4343,رنگ سے,3
1840,تیز تیز,3
1869,سے شیشے,3
1871,اچھل رہے,3
517,بھی تو,3
1872,رہے ہر,3
1895,نیم باز,3
8728,کے انداز,3
1892,قرض اس,3
1891,پہ قرض,3
4311,کرتا تھا,3
1890,ناخن پہ,3
1889,ہنوز ناخن,3
1888,ہے ہنوز,3
1886,تقاضا کہ,3
1885,ہے تقاضا,3
281,قید حیات,3
283,و بند,3
284,بند غم,3
300,حسن اور,3
4018,و جاں,3
302,اس پہ,3
1883,دل کرے,3
1880,کا کاوش,3
1878,شیشہ باز,3
4010,شوق کر,3
311,اپنے پہ,3
1877,سر شیشہ,3
1875,بساط ہے,3
1839,ہائے تیز,3
369,کام بند,3
1838,نظر ہائے,3
1837,غیر نظر,3
5936,جاتا ہے,3
7393,کرتے ہو,3
3909,یار کو,3
3908,ہے یار,3
9994,ہے پھر,3
1800,برق خرمن,3
13183,گزر گیا,3
9535,پھرتا ہے,3
463,کے ہم,3
464,ہم نہیں,3
3898,کلام میں,3
469,ہی سے,3
4384,گھر کو,3
4385,ہیں نظر,3
8753,نے یہ,3
3888,امام سے,3
8376,دل لگا,3
1787,دل پسند,3
3881,کا ہو,3
9517,آئے نہ,3
4397,جگر کو,3
5902,کے ہاتھ,3
510,رہی نہ,3
1807,ہی نوا,3
1808,نوا ہائے,3
5940,مجھ پر,3
2620,مر جائیں,3
1836,سوئے غیر,3
375,کیا کیجیے,3
1835,اور سوئے,3
377,ہائے ہائے,3
5969,تن میں,3
381,ایک بات,3
1834,تو اور,3
384,ہو تم,3
385,تم کہ,3
3954,ہوئے پھر,3
1832,ناز کا,3
4374,میں ہمارے,3
1831,ہائے ناز,3
1830,گل ہائے,3
1826,یہ وقت,3
1825,نظارہ ہے,3
4358,ہجر میں,3
4360,دیوار و,3
3940,ہوئے ہیں,3
4361,و در,3
1821,رنگ شکستہ,3
7382,نہ کچھ,3
2304,کے ہے,3
261,میں منہ,3
258,نظارہ سوز,3
1983,بہ قدر,3
2181,بھی میں,3
5281,میں جا,3
9843,نہ بابِ,3
9844,بابِ نبرد,3
9845,تھا عشقِ,3
9846,عشقِ نبرد,3
9847,پیشہ طلبگارِ,3
9848,طلبگارِ مرد,3
9849,بھی مِرا,3
8520,جنبشِ لب,3
9696,غمِ روزگار,3
9850,مِرا رنگ,3
106,کیوں کر,3
5279,ہوں تو,3
9853,اس رہگزر,3
9855,کشمکش اندوہِ,3
9856,اندوہِ عشق,3
9859,نہ کرسکے,3
9860,کرسکے زنداں,3
9861,یہ لاشِ,3
9862,لاشِ بے,3
9863,کفن اسدِ,3
9864,اسدِ خستہ,3
14607,مصر و,3
13754,و مستی,3
9834,سے نہیں,3
13047,ہوں مگر,3
13028,بے حجابی,3
5373,سمجھتا ہوں,3
7,ہے شب,3
4222,سے گزری,3
6426,کی جستجو,3
4211,بیاباں میں,3
2093,گل ہے,3
2044,سے لیکن,3
2043,چمن سے,3
2039,قدم میرا,3
6074,جنونِ عشق,3
76,نہ کیوں,3
6068,گلشن میں,3
52,مت پوچھ,3
6062,تو ہوں,3
2147,بلا سے,3
6478,ہیں آج,3
62,دیکھ کہ,3
2016,نہیں غالب,3
10834,دیتے ہیں,3
10835,نہیں دینگے,3
13658,جذب مسلمانی,3
2199,سے مجھے,3
14625,بادہ و,3
1900,ہجراں ہوا,3
14626,و جام,3
5990,روزن میں,3
2262,بنا ہے,3
1935,تو میں,3
207,دل ہی,3
14663,بے سرور,3
8709,جاتا ہوں,3
2273,یہ کس,3
224,ہزار بار,3
5223,کرے کوئی,3
8717,کیا گر,3
238,بیٹھے ہیں,3
240,رہ گزر,3
5217,کب تلک,3
242,پہ ہم,3
5214,کر اے,3
1907,گہر ہائے,3
7301,مدت سے,3
1906,دفینہ گہر,3
1905,تھا دفینہ,3
1904,کہ تھا,3
1903,سینہ کہ,3
13132,شب میں,3
12636,کر کوئی,3
4085,جی میں,3
2254,دیا ہے,3
4087,پہ کسی,3
8683,دل اور,3
10871,سے پیار,3
9875,مجھے چھوڑ,3
1979,یک عالم,3
139,کو برا,3
8673,کیا بے,3
8674,بے نیازی,3
9881,نہیں سکتا,3
146,ہوتے ہیں,3
5264,جلتا ہوں,3
13780,سکتا نہیں,3
4111,غالب ہمیں,3
195,و ہم,3
13103,و بو,3
8691,دیدہ و,3
170,ہے ابھی,3
10888,زندگی کا,3
8697,تو سمجھا,3
8704,تیغ و,3
6522,کو دے,3
189,ساغر و,3
190,و مینا,3
13117,آہ و,3
4409,لعل و,3
391,کہو کہ,3
6385,تن کے,3
3677,کا بندہ,3
2550,لفظ کہ,3
3558,برا نہ,3
2553,معنی نہ,3
3553,دوا نہ,3
2557,سے ترا,3
5024,ہے گر,3
4624,کرے گی,3
2560,سرکش نہ,3
2561,نہ دبا,3
16916,ہے اقبال,3
2562,دبا یہ,3
7692,ہیں اب,3
740,موت کا,3
742,ایک دن,3
746,نیند کیوں,3
747,کیوں رات,3
4411,گہر کو,3
749,بھر نہیں,3
2568,افعی نہ,3
11608,ہو چکا,3
3563,جس میں,3
1686,ملک کو,3
682,مر کے,3
7605,نہیں دیکھا,3
7612,بار ہا,3
656,ہے غم,3
3640,کہ اگر,3
15015,نظر کا,3
1703,اس میں,3
7625,خونِ جگر,3
11115,نہ سکا,3
3611,یوں تو,3
3566,مزا نہ,3
4582,سے غالب,3
3607,آئے وہ,3
2838,سر و,3
702,سکتا کہ,3
7060,کے واسطے,3
7055,کو ملا,3
2549,وہ لفظ,3
710,بو بھی,3
11578,کا ہر,3
754,حال دل,3
6324,سمجھتے ہیں,3
2609,گوش منت,3
1639,کہ جس,3
2604,نہ کرنے,3
814,خبر نہیں,3
3451,ہے اپنے,3
2606,راضی کہ,3
2607,کہ کبھی,3
2608,کبھی گوش,3
823,ہے پر,3
826,کس منہ,3
2603,وعدہ نہ,3
2613,ہوا کس,3
833,کو مگر,3
2616,قسمت کی,3
13249,کی سلطنت,3
7763,یہ جانتا,3
838,ایسی کہ,3
839,کہ ہر,3
2618,شکایت کیجے,3
807,ہیں جہاں,3
2602,ترے وعدہ,3
2575,سے چھوٹوں,3
2589,مے و,3
2576,چھوٹوں وہ,3
2580,مرے مرنے,3
4657,نہیں وہ,3
2581,مرنے پہ,3
2583,راضی نہ,3
7011,سمجھ میں,3
784,کر نہیں,3
2585,دل گزر,3
790,کرتے ہیں,3
2601,ہوں ترے,3
7743,ہے کیا,3
3470,زنجیر کا,3
5856,جاتی ہیں,3
2591,ساغر ہی,3
2593,سہی گر,3
799,نہیں آتا,3
3466,دیدہ ہے,3
2594,گر نفس,3
645,ہوتا غم,3
1394,غربت میں,3
7172,ہم لوگ,3
569,مر نہ,3
608,کے پار,3
12549,آ گئی,3
3743,بات کہ,3
12553,دیدار یار,3
592,میرے دل,3
3770,تک ہر,3
8790,دلِ حسرت,3
2443,میں ہر,3
14490,یا مجھے,3
13901,وہ خاک,3
3830,کی یہ,3
535,شہر میں,3
7554,میں اے,3
14493,کر تو,3
2409,چراغاں کا,3
540,یہ نہ,3
12783,سے ہاتھ,3
14887,حق نے,3
541,نہ تھی,3
561,تو یہ,3
5422,کا جہاں,3
10709,آتے ہیں,3
11792,وہ راز,3
4446,عشق نے,3
5442,ہر قطرہ,3
8326,یوں بے,3
2493,غیر کی,3
525,ہے ہوا,3
633,کہ پھر,3
7213,کے ہر,3
629,سے ٹپکتا,3
623,کوئی غم,3
